Artist,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,release_year,release_month,release_day,Explicit Track
65.0,1268.0,42.0,3531.0,2.0,4.0,0.0,3250879013.0,19819631.0,-1.0,-1.0,-1.0,2025160205.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,2015,12,4,0
66.0,3178.0,24.5,219756697.0,31819.0,12504632.0,0.0,247152121.0,1745948.0,508.0,6297.0,149298.0,175272203.0,22.0,103.0,-1.0,31.0,353396.0,8.0,0.0,-1.0,13400.0,128502.0,2022,6,3,0
67.0,4058.0,21.1,1281704427.0,1277.0,342709.0,37.0,506308579.0,3063149.0,-1.0,-1.0,0.0,52266003.0,47.0,29081.0,0.0,-1.0,0.0,-1.0,644840340.0,265115.0,-1.0,0.0,2015,5,20,0
39.0,3656.0,22.4,15333864.0,1439.0,35368637.0,71.0,11215883.0,86574.0,121600.0,0.0,-1.0,3407832.0,6.0,190.0,-1.0,5.0,555882.0,1.0,0.0,-1.0,-1.0,122965.0,2024,3,24,1
68.0,2234.0,30.3,1064599051.0,89443.0,24441546.0,0.0,997993764.0,6246988.0,66520.0,38824727.0,261382201.0,1677484200.0,116.0,19122.0,108.0,37.0,295349.0,18.0,420137717.0,93772.0,0.0,8268701.0,2015,11,20,0
69.0,3987.0,21.4,27850857.0,13873.0,8249759.0,-1.0,13933188.0,336872.0,0.0,0.0,-1.0,235522928.0,10.0,3421.0,711.0,18.0,237640.0,12.0,983003.0,74.0,0.0,84148.0,2023,12,21,1
70.0,2610.0,27.6,899830382.0,96199.0,41829450.0,70.0,1288704058.0,6983846.0,131095.0,50779178.0,371404445.0,171606029.0,0.0,86551.0,204.0,65.0,813444.0,22.0,240308987.0,115959.0,-1.0,7374291.0,2014,1,1,0
71.0,1203.0,43.190269231263734,196612187.0,3800.0,44868049.0,84.99500548528043,38102046.0,2794580.0,0.0,2941.0,26700.0,119265847.0,0.0,5014.0,95.0,33.016489458700704,11190250.0,10.992268391607992,1934224.0,135.0,-1.0,226475.0,2024,3,15,0
72.0,3434.0,23.3,48573000.0,12116.0,42703266.0,-1.0,10575780.0,130509.0,583.0,184636.0,7526758.0,49677185.0,26.0,49396.0,176.0,33.0,548530.0,-1.0,424106.0,177.0,-1.0,773165.0,2023,10,6,0
73.0,2566.0,27.893439262652613,916695.0,97.0,384024.0,-1.0,19150049.0,391641.0,0.0,-1.0,-1.0,2606582.0,-1.0,51.0,-1.0,0.987031294763865,11587.0,0.0,0.0,0.0,-1.0,16597.0,2024,5,16,0
74.0,2990.0,25.50536726120677,257661585.0,97161.0,10116206.0,55.993554684560365,23225337.0,276490.0,48458.0,21485493.0,187075625.0,668848.0,101.99023827029221,14552.0,559.0,16.00427769362556,101316.0,24.99146733117649,93599614.0,18917.0,0.0,1681335.0,2021,6,4,0
75.0,4113.0,-1.0,43078993.0,31275.0,2195709.0,52.0,10699230.0,123634.0,134000.0,30597301.0,306310318.0,0.0,9.0,3645.0,103.0,-1.0,-1.0,5.0,28410.0,47.0,4102693.0,128246.0,2023,3,9,1
76.0,3830.0,21.797455194554573,278032053.0,79755.0,13755423.0,63.001293731736425,179207995.0,2529783.0,59876.0,18571806.0,170949508.0,80863349.0,58.01669095219921,38286.0,19.0,20.986239918085186,21659.0,11.981639970053923,12891509.0,5890.0,-1.0,1765806.0,2020,9,25,1
77.0,489.0,69.6,1615152539.0,377159.0,51251842.0,-1.0,887924965.0,7755679.0,111904.0,56162755.0,430258743.0,5477326.0,271.0,52893.0,137.0,69.0,241966.0,86.0,283815218.0,303599.0,87687804.0,12370090.0,2016,11,17,1
78.0,4209.0,20.6,307125680.0,37085.0,4580996.0,78.0,23958351.0,115841.0,82568.0,11598936.0,91548493.0,237287388.0,-1.0,1612.0,24.0,-1.0,71.0,6.0,61065910.0,9915.0,2086392.0,170053.0,2022,5,20,0
79.0,3203.0,24.287070223535608,503187980.0,36629.0,13318890.0,65.02231267356073,857645221.0,2562683.0,32580.0,5181492.0,40522645.0,111178750.0,-1.0,104.0,74.0,26.99397175111919,221999.0,24.983762342084933,57708356.0,12061.0,0.0,1724848.0,2018,8,31,0
80.0,3457.0,23.2,1060255231.0,88246.0,45330466.0,-1.0,950074212.0,5331921.0,639780.0,19939783.0,196304893.0,200462207.0,0.0,54682.0,32.0,183.0,224787.0,0.0,0.0,-1.0,0.0,8460234.0,2015,1,9,0
81.0,463.0,71.5,1829733410.0,157465.0,49558504.0,76.0,3624778617.0,16916871.0,104685.0,38075232.0,346032878.0,1811140554.0,154.0,41483.0,123.0,107.0,566690.0,28.0,730704780.0,855164.0,749243.0,12259073.0,2014,1,1,0
6.0,2393.0,29.2,327311508.0,31216.0,7536781.0,68.0,699298520.0,2643453.0,200001.0,16337762.0,271173077.0,2872858.0,15.0,6744.0,27.0,0.0,81984.0,0.0,48730708.0,21508.0,-1.0,1353689.0,2020,5,22,0
40.0,3190.0,24.4,705672746.0,84469.0,33371478.0,70.0,271113088.0,1055058.0,38258.0,16654149.0,124603506.0,504904.0,79.0,4564.0,20.0,35.0,48467.0,22.0,66731877.0,7395.0,72533.0,633497.0,2020,5,9,1
82.0,1766.0,34.7,580054244.0,72991.0,32213511.0,72.0,994008600.0,4660138.0,224269.0,39436962.0,404797553.0,153838066.0,26.0,7887.0,20.0,0.0,252415.0,22.0,23201439.0,5578.0,-1.0,2734291.0,2019,3,15,0
83.0,2248.0,-1.0,79782529.0,10849.0,8194521.0,-1.0,70231783.0,491126.0,0.0,-1.0,0.0,462163988.0,8.988218662662486,5.0,-1.0,-1.0,5792984.0,15.997804574120412,-1.0,-1.0,0.0,-1.0,2023,12,12,1
84.0,2203.0,30.5,622690472.0,108263.0,18637177.0,69.0,261237045.0,2753871.0,5525.0,1874937.0,17207972.0,10067736.0,-1.0,11662.0,2.0,10.0,120387.0,24.0,262889554.0,96599.0,0.0,2184126.0,2019,9,6,0
85.0,3338.0,23.78256817676201,7900402.0,4782.0,367497.0,-1.0,146296974.0,819226.0,258850.0,16582173.0,215446483.0,306023843.0,7.012690562610308,12.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,998296.0,2023,5,2,0
86.0,949.0,0.0,242661037.0,43999.0,9893510.0,-1.0,51722759.0,783780.0,499500.0,69556599.0,646143014.0,460974.0,5.007245751000234,-1.0,948.0,1.0069478381812507,9696.0,-1.0,496607.0,1659.0,-1.0,2552266.0,2023,6,6,1
87.0,659.0,-1.0,961358721.0,155959.0,47278163.0,65.00499066466139,1188737111.0,7547115.0,212737.0,22305262.0,307352160.0,230662728.0,200.99683181106823,493.0,115.0,-1.0,1479424.0,45.00176267272443,151816538.0,47318.0,-1.0,11191965.0,2019,10,12,1
88.0,3350.0,23.67555157592416,362756358.0,123477.0,16148100.0,-1.0,28737121.0,359092.0,125196.0,39650616.0,374299600.0,-1.0,13.000017674655105,1160.0,0.0,4.0067834205169905,1227.0,7.012846283760643,21129445.0,7524.0,-1.0,579324.0,2020,11,11,0
89.0,4554.0,0.0,285851797.0,41294.0,10037160.0,57.0,658375389.0,2669794.0,6817.0,2802860.0,15966689.0,31982622.0,16.0,3073.0,6.0,12.0,73841.0,0.0,9828021.0,4717.0,0.0,764140.0,2018,10,31,0
90.0,1981.0,32.4,37248788.0,8023.0,1580067.0,50.0,1900711176.0,10412989.0,-1.0,0.0,0.0,170150228.0,14.0,54.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0.0,276435.0,2017,7,4,0
91.0,3972.0,0.0,161366691.0,18781.0,6151558.0,64.0,167537164.0,1497169.0,133300.0,16562523.0,286891984.0,-1.0,22.0,918.0,0.0,0.0,1097.0,9.0,0.0,-1.0,-1.0,479047.0,2022,9,29,0
92.0,1196.0,-1.0,252239644.0,24974.0,6379185.0,65.0,157154307.0,1031138.0,408410.0,96001756.0,1121997176.0,0.0,35.0,692.0,0.0,0.0,132211.0,11.0,18131311.0,9970.0,-1.0,415733.0,2023,5,26,1
93.0,1414.0,-1.0,1143172586.0,216588.0,73069486.0,72.0,213210779.0,1991783.0,126524.0,40627736.0,302798025.0,11536073.0,135.0,255508.0,218.0,88.0,336269.0,0.0,850730378.0,1501832.0,-1.0,18822823.0,2011,9,20,0
94.0,1480.0,38.110380978572834,91143676.0,13407.0,30382319.0,-1.0,31174494.0,570689.0,629.0,8970312.0,95419062.0,3467570606.0,58.00754466384903,49386.0,226.0,0.0,380101.0,0.0,5215909.0,2625.0,-1.0,704867.0,2023,12,1,0
